 person1 	rel 	person2
  Caroline_of_Ansbach 	  issue 	  Princess_Amelia_of_Great_Britain
  Champion_of_the_Universe 	  creator 	  Ron_Wilson_(comics)
  Carter_Harrison_Sr. 	  successor 	  John_A._Roche
  Catherine_de'_Medici 	  parent 	  Madeleine_de_La_Tour_d'Auvergne
  Caroline_of_Ansbach 	  next 	  Charlotte_of_Mecklenburg-Strelitz
  Catherine_the_Great 	  parent 	  Christian_August,_Prince_of_Anhalt-Zerbst
  Charles_Lapworth 	  award 	  Bigsby_Medal
  Catherine_Parr 	  issue 	  Mary_Seymour
  Caroline_of_Brunswick 	  parent 	  Princess_Augusta_of_Great_Britain
  Charles_K._Kao 	  award 	  Faraday_Medal
  Carter_Harrison_Sr. 	  predecessor 	  Hempstead_Washburne
  Catherine_Deneuve 	  partner 	  Hugh_Johnson_(cinematographer)
  Caroline_of_Ansbach 	  issue 	  Princess_Caroline_of_Great_Britain
  Catherine_Deneuve 	  child 	  Christian_Vadim
  Carter_Harrison_Jr. 	  spouse 	  Edith_Ogden_Harrison
  Cesare_Zavattini 	  hypernym 	  Screenwriter
  Cass_Gilbert 	  hypernym 	  Architect
  Catherine_Parr 	  spouses 	  Henry_VIII_of_England
  Charles_Lapworth 	  hypernym 	  Geologist
  Catherine_Parr 	  spouses 	  Thomas_Seymour,_1st_Baron_Seymour_of_Sudeley
  Casimir_Funk 	  hypernym 	  Biochemist
  Catherine_Parr 	  title 	  List_of_Irish_consorts
  Catherine_of_Valois 	  title 	  List_of_Irish_consorts
  Caroline_of_Brunswick 	  succession 	  List_of_British_consorts
  Caroline_of_Ansbach 	  title 	  List_of_British_consorts
  Caroline_of_Brunswick 	  title 	  List_of_British_consorts
  Charles_Maurice_de_Talleyrand-Périgord 	  sameAs 	  Charles_Maurice_de_Talleyrand-Périgord
  Christiaan_Huygens 	  deathPlace 	  Dutch_Republic
  Christiaan_Huygens 	  birthPlace 	  Dutch_Republic
  Charlie_Parker 	  associatedBand 	  Dizzy_Gillespie
  Charlie_Parker 	  associatedMusicalArtist 	  Dizzy_Gillespie
  Charles_VII,_Holy_Roman_Emperor 	  succession 	  Holy_Roman_Emperor
  Charles_VII,_Holy_Roman_Emperor 	  title 	  Holy_Roman_Emperor
  Chen_Shui-bian 	  predecessor 	  Lee_Teng-hui
  Charles_VII,_Holy_Roman_Emperor 	  predecessor 	  Maria_Theresa
  Charles_VII,_Holy_Roman_Emperor 	  successor 	  Maria_Theresa
  Charles_Maurice_de_Talleyrand-Périgord 	  honorificPrefix 	  Prince
  Christopher_Lambert 	  spouse 	  Sophie_Marceau
  Christopher_Wren 	  after 	  Anthony_Henley_(1667–1711)
  Charlton_Heston 	  spouse 	  Lydia_Clarke
  Chen_Shui-bian 	  title 	  Mayor_of_Taipei
  Charles_M._Schulz 	  hypernym 	  Cartoonist
  Chemical_Weapons_Convention 	  depositor 	  Secretary-General_of_the_United_Nations
  Charles_Maurice_de_Talleyrand-Périgord 	  child 	  Charles_Joseph,_comte_de_Flahaut
  Charles_Maurice_de_Talleyrand-Périgord 	  predecessor 	  Charles-François_Delacroix
  Charles_VII,_Holy_Roman_Emperor 	  successor 	  Francis_I,_Holy_Roman_Emperor
  Charles_M._Schulz 	  influenced 	  Jeff_Smith_(cartoonist)
  Christina,_Queen_of_Sweden 	  after 	  Charles_X_Gustav_of_Sweden
  Charles_VII,_Holy_Roman_Emperor 	  spouse 	  Maria_Amalia_of_Austria
  Charles_Rennie_Mackintosh 	  hypernym 	  Architect
  Charles_Macintosh 	  hypernym 	  Chemist
  Christiaan_Huygens 	  influenced 	  Gottfried_Wilhelm_Leibniz
  Christiaan_Huygens 	  influenced 	  Isaac_Newton
  Christopher_Tolkien 	  influencedBy 	  J._R._R._Tolkien
  Christina,_Queen_of_Sweden 	  parent 	  Maria_Eleonora_of_Brandenburg
  Charlie_Parker 	  associatedBand 	  Miles_Davis
  Charlie_Parker 	  associatedMusicalArtist 	  Miles_Davis
  Christiaan_Huygens 	  influencedBy 	  René_Descartes
  Chaz_Bono 	  parent 	  Sonny_Bono
  Christiaan_Huygens 	  influencedBy 	  Galileo_Galilei
  Christopher_Wren 	  after 	  Charles_Porter_(Lord_Chancellor_of_Ireland)
  Christopher_Wren 	  after 	  George_Treby_(judge)
  Christopher_Wren 	  before 	  George_Treby_(judge)
  Christopher_Wren 	  after 	  Henry_Thynne_(1675–1708)
  Christopher_Wren 	  before 	  Henry_Thynne_(1675–1708)
  Childeric_I 	  issue 	  Audofleda
  Chief_Justice_of_the_United_States 	  incumbent 	  John_Roberts
  Chief_Justice_of_the_United_States 	  precededBy 	  William_Rehnquist
  Charles_VII,_Holy_Roman_Emperor 	  parent 	  Theresa_Kunegunda_Sobieska
